EC,FALSE,
CF,FALSE,
GA,FALSE,
AB,FALSE,
DD,FALSE,
FA,FALSE,
DB,FALSE,
AE,FALSE,
EF,FALSE,
BA,FALSE,
EI,FALSE,
CG,FALSE,
BB,FALSE,
EE,FALSE,
ID,FALSE,
FC,FALSE,
BF,FALSE,
GD,FALSE,
AD,FALSE,
DC,FALSE,
JA,FALSE,
CA,FALSE,
DF,FALSE,
HC,FALSE,
BD,FALSE,
ED,FALSE,
EA,FALSE,
AI,FALSE,
CB,FALSE,
CE,FALSE,
EB,FALSE,
AF,FALSE,
HB,FALSE,
CC,FALSE,
CI,FALSE,
GG,FALSE,
BJ,FALSE,
HA,FALSE,
GI,TRUE,IF
AG,TRUE,AA
BH,FALSE,
GB,TRUE,DG
JE,TRUE,BK
GF,TRUE,EH
GC,TRUE,BG
FF,TRUE,IB
FE,FALSE,
KA,TRUE,AK
HG,TRUE,FD
HD,TRUE,DH
BC,FALSE,
CJ,FALSE,
BE,FALSE,
AC,FALSE,
DE,FALSE,
DA,FALSE,
AB,FALSE,
EC,FALSE,
CD,FALSE,
FB,FALSE,
CF,FALSE,
DB,FALSE,
BA,FALSE,
none,FALSE,
DD,FALSE,
none,FALSE,
AE,FALSE,
BB,FALSE,
none,FALSE,
JB,FALSE,
FA,FALSE,
GA,FALSE,
AJ,FALSE,
AD,FALSE,
EG,FALSE,
BF,TRUE,IA
BI,FALSE,
GH,TRUE,CG
IC,FALSE,
CA,FALSE,
FC,FALSE,
EE,FALSE,
DC,FALSE,
AH,FALSE,
BD,FALSE,
FG,FALSE,
EF,FALSE,
CB,FALSE,
CH,FALSE,
GE,FALSE,
EA,FALSE,
DF,FALSE,
JD,FALSE,
HE,FALSE,
CE,FALSE,
ED,FALSE,
CC,FALSE,
AF,FALSE,
EB,FALSE,
FH,FALSE,
IE,FALSE,
AA,FALSE,
GD,FALSE,
DI,FALSE,
HH,FALSE,
HF,FALSE,
BC,FALSE,
AC,FALSE,
AG,FALSE,
HC,FALSE,
none,FALSE,
BE,FALSE,
AB,FALSE,
BG,FALSE,
HB,FALSE,
DA,FALSE,
AI,FALSE,
KB,FALSE,
GB,FALSE,
BH,FALSE,
BA,FALSE,
CD,FALSE,
DG,FALSE,
HA,FALSE,
DE,FALSE,
BB,FALSE,
DB,FALSE,
GC,FALSE,
EC,FALSE,
FD,FALSE,
AE,FALSE,
FE,FALSE,
DD,FALSE,
CF,FALSE,
CK,FALSE,
AD,FALSE,
FB,FALSE,
EJ,FALSE,
CI,FALSE,
ID,FALSE,
CA,FALSE,
FF,FALSE,
DJ,FALSE,
FA,FALSE,
BF,FALSE,
BD,FALSE,
DH,FALSE,
DC,FALSE,
CB,FALSE,
